Course Title,,Tags,,
Motion design,моушн дизайн анимация графика видео движение монтаж эффекты визуализация креатив adobe after effects motion graphics видеодизайн динамичный дизайн цифровой контент анимационный дизайн визуальные эффекты композиция,"['Координация цвета, стили, материалы / ткани и аксессуары', 'Подготовка дизайна эскизов мультимедиа', 'Разработка дизайна', 'Создание аниматики и выбор эскизов с персонажами', 'Художественно-техническая разработка дизайн-проекта']",,
UI/UX design,интерфейс дизайн пользовательский опыт проектирование веб мобильный юикс юиюкс прототипирование юзабилити пользователь взаимодействие figma sketch wireframe макет дизайн-системы веб-дизайн мобильные приложения,"['Дизайн и макетирование Web-страниц', 'Подготовка графических материалов для включения в графический интерфейс', 'Подготовка дизайна эскизов мультимедиа', 'Проектирование и разработка front-end web-ресурса', 'Верстка страниц web-сайта']",,
Копирайтинг,копирайтинг текст написание статьи контент seo рерайтинг маркетинг продающий текст заголовки редактура смм продвижение реклама контент-маркетинг создание текстов письмо,"['Маркетинговая деятельность', 'Проведение рекламных презентаций для клиентов', 'Информирование о маркетинговых акциях, продуктах и специальных предложений', 'Умение продвигать товары и\xa0услуги']",,
Кәсіби визаж,визаж макияж косметика мейкап бьюти красота профессиональный визажист макияж профессионально косметология стилист визажное искусство красота макияж глаз свадебный макияж вечерний макияж makeup,"['Нанесение макияжа', 'Подготовка кожи для нанесения косметики и выполнение демакияжа лица']",,
Көкөністерден әзірленген тағамдар,овощи кулинария приготовление вегетарианский веган здоровое питание готовка овощные блюда салаты гарниры закуски вегетарианская кухня полезное питание диетические блюда овощные рецепты,"['Приготовление полуфабрикатов из рыбы', 'Изготовление мясных продуктов питания', 'Изготовление пищевых продуктов']",,
"Жармадан, бұршақтан және кеспе өнімдерінен тағамдар дайындау, олардың жылулық өңделуі, тағамдарды безендіру және ұсыну",крупы бобовые макароны паста кулинария приготовление гарниры каши злаки бобы рис гречка перловка кускус макаронные изделия варка приготовление подача оформление,['Изготовление пищевых продуктов'],,
Балықтарды алғашқы аспаздық өңдеу және олардан тағамдар дайындау.,рыба морепродукты кулинария разделка приготовление рыбные блюда филирование рыбное филе обработка рыбы seafood приготовление рыбы морская рыба речная рыба рыбные рецепты,"['Приготовление полуфабрикатов из рыбы', 'Изготовление пищевых продуктов']",,
PROвизаж,визаж профессиональный макияж продвинутый уровень бьюти мастер косметика мейкап стилист визажист макияж профессионально индустрия красоты профи визаж обучение макияж мастер класс,['Нанесение макияжа'],,
Ыстық және салқын сусындар,напитки коктейли бариста кофе чай холодные напитки горячие напитки приготовление напитков безалкогольные напитки лимонады смузи соки чайная церемония кофейные напитки,"['Разработка и утверждение новых рецептур', 'Изготовление пищевых продуктов']",,
Построение отдела продаж в отеле,отель продажи менеджмент гостиница управление отделом маркетинг hospitality sales менеджер по продажам гостиничный бизнес отельный бизнес развитие продаж структура продаж,"['Организация труда и управление персоналом', 'Ведение кассовых, организационно-распорядительных, отчетных документов', 'Решение административных вопросов']",,
Критерии ценообразования в отеле,ценообразование отель гостиница тарифы цены ревеню менеджмент гостиничный бизнес управление доходами pricing revenue management стоимость номеров ценовая политика расценки,"['Руководство производственно-хозяйственной деятельностью', 'Анализ и оценка деятельности гостиничного комплекса', 'Продажа и оказание гостиничных услуг']",,
KPI - как основа мотивации сотрудников,кпи мотивация персонал эффективность показатели управление кадры hr менеджмент ключевые показатели результативность сотрудники оценка персонала производительность метрики,"['Планирование закупок и продаж товара', 'Выявление и учет потенциальных покупателей', 'Анализ продаж и прибыльности отдельных товаров']",,
7 шагов к лучшему сервису,сервис обслуживание клиенты качество услуги клиентский опыт customer service hospitality гостеприимство стандарты обслуживания клиентоориентированность сервисное обслуживание,"['Соблюдение стандартов обслуживания гостей', 'Контроль обслуживания гостей в ресторане', 'Встреча и размещение гостей', 'Работа с командой официантов Room Service']",,
Финансовый менеджмент в гостиничном бизнесе,финансы менеджмент гостиница отель управление бюджет планирование экономика бизнес учет контроль финансовый анализ гостиничный бизнес доходы расходы прибыль,"['Контроль финансово-экономической деятельности организации', 'Составление бюджета предприятия', 'Планирование инвестбюджета', 'Финансовое планирование', 'Ведение бухгалтерского учета']",,
HR в ресторане. Создание «команды мечты».,hr ресторан персонал управление команда подбор кадры менеджмент общепит сотрудники рекрутинг ресторанный бизнес управление персоналом команда мечты,"['Ведение и составление документов', 'Заключение трудовых договоров', 'Подбор квалифицированных кадров', 'Ведение делопроизводства', 'Решение вопросов кадрового обеспечения']",,
Сорпа мен көже дайындау. Тағамды безендіру және ұсыну.,супы первые блюда кулинария приготовление бульон похлебка варка подача оформление горячие блюда суп рецепты бульоны заправочные супы борщ,['Изготовление пищевых продуктов'],,
HR в ресторане. Создание «команды мечты». 2 часть. Управление персоналом на предприятии.,hr управление персоналом ресторан менеджмент кадры развитие персонала обучение мотивация команда руководство сотрудники общепит ресторанный бизнес кадровое делопроизводство,"['Организация труда и управление персоналом', 'Формирование кадровой политики', 'Внесение предложений по структуре и штатам']",,
Цифровая грамотность для начинающих,цифровая грамотность компьютер интернет базовые навыки технологии информационные технологии начинающие обучение компьютерная грамотность основы пк электронная почта безопасность,['Обработка информации и проведение вычислительных работ'],,
HR в ресторане Создание «команды мечты» 3 часть: Командообразование. Конфликтные ситуации. Эффективный лидер.,hr командообразование конфликты лидерство управление персоналом менеджмент ресторан team building конфликтология эффективное руководство лидер управление конфликтами мотивация,"['Организация труда и управление персоналом', 'Соблюдение стандартов обслуживания гостей', 'Контроль обслуживания гостей в ресторане', 'Работа с командой официантов Room Service', 'Решение административных вопросов']",,
Цифрлық сауаттылық,цифровая грамотность компьютер интернет базовые навыки технологии информационные технологии начинающие обучение компьютерная грамотность основы пк электронная почта безопасность цифрлык сауаттылык,['Обработка информации и проведение вычислительных работ'],,
English для официантов,английский язык официант ресторан сервис обслуживание общепит hospitality english for service waiter restaurant сфера услуг общение с клиентами разговорный английский,"['Рекомендации гостям при приеме заказа', 'Соблюдение стандартов обслуживания гостей', 'Обслуживание гостей', 'Встреча и размещение гостей']",,
Выращивание грибов (вешенок) в помещении,грибы вешенки выращивание производство бизнес сельское хозяйство агро технология грибоводство помещение урожай органическое выращивание экоферма фермерство,"['Подготовка агрохимического оборудования', 'Агрохимические приемы возделывания культур', 'Выращивание высококачественных сортов семян']",,
Выращивание томатов и перцев в теплицах,томаты перцы теплица выращивание овощеводство агротехника урожай сельское хозяйство агробизнес технология защищенный грунт овощи,"['Агрохимические приемы возделывания культур', 'Выращивание высококачественных сортов семян']",,
Технология выращивания микрозелени,микрозелень органическое земледелие проращивание ростки технология выращивания здоровое питание бизнес фермерство микрогрин полезные продукты,"['Агрохимические приемы возделывания культур', 'Выращивание высококачественных сортов семян']",,
Птицеводство. Выращивание бройлеров,птицеводство бройлеры куры выращивание сельское хозяйство ферма птицеферма мясное производство агробизнес технология разведение птицы,"['Содержание птиц', 'Профилактика инфекционных и инвазионных болезней с/х животных и птиц', 'Санобработка животных и птицы']",,
